A0003511,21,COMPLAINT OTHER,1H,3682271.00000000,532658.00000000,01/01/2011 12:05:27 AM,01/01/2011 12:05:30 AM,01/01/2011 12:06:54 AM,01/01/2011 12:13:30 AM,NATM,MUNICIPAL NECESSARY ACTION TAK,007XX Bourbon St,70116,8,"(29.958601363590052, -90.06559602680109)"
A0004011,94,DISCHARGING FIREARMS,2B,3686082.00000000,539355.00000000,01/01/2011 12:05:30 AM,01/01/2011 12:08:47 AM,01/01/2011 12:10:52 AM,01/01/2011 12:12:40 AM,UNF,UNFOUNDED,N Prieur St & St Roch Ave,70117,5,"(29.976899297579013, -90.05332567698778)"
A0004611,20,AUTO ACCIDENT,1C,3680242.00000000,526397.00000000,01/01/2011 12:05:57 AM,empty,empty,01/01/2011 12:48:57 AM,DUP,DUPLICATE,Tchoupitoulas Exit & US90B E,70130,6,"(29.94144728685114, -90.07222067097462)"
A0003711,94,DISCHARGING FIREARMS,2B,3685223.00000000,539006.00000000,01/01/2011 12:06:03 AM,01/01/2011 12:12:47 AM,01/01/2011 12:14:27 AM,01/01/2011 12:17:12 AM,UNF,UNFOUNDED,018XX Marigny St,70117,5,"(29.97596602705658, -90.05605095349556)"
A0003811,94,DISCHARGING FIREARMS,2B,3687058.00000000,551610.00000000,01/01/2011 12:06:19 AM,01/01/2011 12:13:49 AM,01/01/2011 12:16:58 AM,01/01/2011 12:19:29 AM,UNF,UNFOUNDED,De Montluzin St & Selma St,70122,3,"(30.0105661321456, -90.04980960758692)"
A0003911,103,DISTURBANCE (OTHER),1C,3681838.00000000,532083.00000000,01/01/2011 12:06:21 AM,01/01/2011 12:06:39 AM,01/01/2011 12:28:53 AM,01/01/2011 02:59:28 AM,NAT,NECESSARY ACTION TAKEN,005XX Bourbon St,70112,8,"(29.95703347475466, -90.0669833929221)"
A0004311,94,DISCHARGING FIREARMS,2B,3698990.00000000,556016.00000000,01/01/2011 12:06:31 AM,01/01/2011 12:19:05 AM,empty,01/01/2011 12:19:10 AM,UNF,UNFOUNDED,066XX Harbourview Dr,70126,7,"(30.022308056503984, -90.01195154901734)"
A0004111,94,DISCHARGING FIREARMS,2B,3679970.00000000,538985.00000000,01/01/2011 12:06:32 AM,01/01/2011 12:08:36 AM,empty,01/01/2011 12:08:40 AM,UNF,UNFOUNDED,023XX Laharpe St,70119,1,"(29.976068246934798, -90.07264216492227)"
A0004411,21,COMPLAINT OTHER,1H,3663888.00000000,518794.00000000,01/01/2011 12:06:33 AM,01/01/2011 01:43:17 AM,empty,01/01/2011 01:43:25 AM,NAT,NECESSARY ACTION TAKEN,Patton St & Webster St,70118,2,"(29.921026224943134, -90.12410700369237)"
A0004211,94,DISCHARGING FIREARMS,2B,3680709.00000000,542201.00000000,01/01/2011 12:06:34 AM,01/01/2011 12:10:00 AM,01/01/2011 12:13:08 AM,01/01/2011 01:40:45 AM,UNF,UNFOUNDED,N Broad St & Republic St,70119,5,"(29.98488874958143, -90.07019622084253)"
A0004811,63,PROWLER,2C,3680893.00000000,541142.00000000,01/01/2011 12:07:10 AM,01/01/2011 12:26:37 AM,01/01/2011 12:26:49 AM,01/01/2011 01:33:18 AM,GOA,GONE ON ARRIVAL,018XX N Dorgenois St,70119,5,"(29.981971291261228, -90.06965193347357)"
A0004511,21,COMPLAINT OTHER,1H,3680964.00000000,530937.00000000,01/01/2011 12:07:30 AM,01/01/2011 12:07:33 AM,01/01/2011 12:07:39 AM,01/01/2011 12:13:55 AM,NAT,NECESSARY ACTION TAKEN,001XX Bourbon St,70112,8,"(29.953908893404925, -90.06978311579051)"
A0005711,21,COMPLAINT OTHER,2H,3686399.00000000,556037.00000000,01/01/2011 12:07:31 AM,01/01/2011 12:19:25 AM,01/01/2011 12:20:23 AM,01/01/2011 12:22:57 AM,NAT,NECESSARY ACTION TAKEN,062XX Franklin Ave,70122,3,"(30.022759032915797, -90.05173519969223)"
A0004711,94,DISCHARGING FIREARMS,2B,3696078.00000000,519682.00000000,01/01/2011 12:07:39 AM,01/01/2011 12:09:04 AM,01/01/2011 12:12:03 AM,01/01/2011 12:24:50 AM,NAT,NECESSARY ACTION TAKEN,033XX Garden Oaks Dr,70114,4,"(29.922494595540936, -90.02246612031831)"
A0004911,94,DISCHARGING FIREARMS,1B,3683770.00000000,537325.00000000,01/01/2011 12:07:50 AM,01/01/2011 12:13:04 AM,01/01/2011 12:24:00 AM,01/01/2011 12:30:19 AM,UNF,UNFOUNDED,021XX Pauger St,70116,5,"(29.971388317714958, -90.06069890483174)"
A0005011,94,DISCHARGING FIREARMS,1B,3675107.00000000,518464.00000000,01/01/2011 12:08:20 AM,01/01/2011 01:39:28 AM,empty,01/01/2011 01:39:32 AM,UNF,UNFOUNDED,Annunciation St & Delachaise St,70115,6,"(29.919788512441503, -90.08870494382063)"
A0005411,94,DISCHARGING FIREARMS,1B,3670997.00000000,529572.00000000,01/01/2011 12:08:21 AM,01/01/2011 12:15:57 AM,01/01/2011 12:19:18 AM,01/01/2011 12:28:35 AM,UNF,UNFOUNDED,S Broad St & Louisiana Avenue Pk,70125,2,"(29.950454041636956, -90.10130123341163)"
A0005111,94,DISCHARGING FIREARMS,1B,3671908.00000000,525957.00000000,01/01/2011 12:08:27 AM,01/01/2011 12:30:43 AM,01/01/2011 12:34:30 AM,01/01/2011 12:38:40 AM,UNF,UNFOUNDED,Amelia St & Delachaise St,70125,2,"(29.940487009851182, -90.0985477657266)"
A0006011,21,COMPLAINT OTHER,2H,3679552.00000000,528218.00000000,01/01/2011 12:08:34 AM,01/01/2011 12:12:38 AM,01/01/2011 12:16:18 AM,01/01/2011 12:25:06 AM,UNF,UNFOUNDED,009XX Julia St,70113,8,"(29.946475293621724, -90.07433596542653)"
A0005311,94,DISCHARGING FIREARMS,2B,3676636.00000000,518370.00000000,01/01/2011 12:08:57 AM,01/01/2011 12:14:29 AM,01/01/2011 12:19:10 AM,01/01/2011 12:21:48 AM,UNF,UNFOUNDED,Harmony St & St Thomas St,70115,6,"(29.919484286919687, -90.08388187095419)"
A0005211,21,COMPLAINT OTHER,1H,3709745.00000000,554366.00000000,01/01/2011 12:09:09 AM,01/01/2011 12:09:11 AM,empty,01/01/2011 12:25:03 AM,NAT,NECESSARY ACTION TAKEN,045XX Longfellow Dr,70127,7,"(30.017425787812034, -89.97803037239888)"
A0005611,94,DISCHARGING FIREARMS,1B,3704889.00000000,561408.00000000,01/01/2011 12:09:32 AM,01/01/2011 12:39:11 AM,empty,01/01/2011 12:39:13 AM,UNF,UNFOUNDED,Benson Ct & Morrison Rd,70127,7,"(30.03694558513799, -89.99311302659443)"
A0005511,94,DISCHARGING FIREARMS,2B,3692795.00000000,535413.00000000,01/01/2011 12:09:42 AM,01/01/2011 12:17:04 AM,empty,01/01/2011 12:46:19 AM,UNF,UNFOUNDED,043XX Marais St,70117,5,"(29.965852291410833, -90.03226534821997)"
A0006311,24,AMBULANCE REQUEST,2B,3704263.00000000,563166.00000000,01/01/2011 12:10:26 AM,01/01/2011 12:22:18 AM,01/01/2011 12:30:17 AM,01/01/2011 12:37:41 AM,NAT,NECESSARY ACTION TAKEN,087XX Dinkins St,70127,7,"(30.041799510528797, -89.99502641997587)"
